Image Name,No of Obj,Watershed Arcs Removal,Waterfall,Ward Linkage,Weighted Linkage,MorphACWE,Iterated Watershed
b9vehicles_air015,2,0.7413,0.7761,0.8595,0.8216,0.8351,0.106
b9vehicles_air016,2,0.5537,0.8354,0.9051,0.8911,0.0571,0.6362
b9vehicles_air018_cropped,2,0.679,0.5837,0.6361,0.3667,0.6433,0.6168
babyandmom,2,0.7016,0.855,-0.0165,0.1608,0.0927,0.2232
birdhouse_003,2,0.0257,0.021,0.0806,0.0512,0.101,-0.0062
bi_planes,2,0.0088,0.0041,0.0262,0.0423,0.0573,0.0242
black_and_white,2,0.0572,0.0925,0.116,0.0797,0.1243,0.07
black_an_white,2,0.0287,0.0969,0.0067,0.1116,0.0344,0.2425
boatscn2174,2,0.4113,0.9118,0.9003,0.8932,0.9111,0.587
by_the_north_sea15,2,0.6875,0.8379,0.6645,0.6366,0.8152,0.794
chaom69,2,0.0747,0.8077,0.8588,0.654,0.9196,0.5755
cocotort,2,0.0897,0.0922,0.1366,0.1855,0.2236,0.1781
crw_5052,2,0.0414,0.1133,0.0065,0.0056,0.0008,0.0766
decorwall,2,0.278,0.4272,0.5855,0.6688,0.729,0.6457
dsc00103_h,2,0.6618,0.8716,0.0061,0.5598,0.0059,0.8916
dscf1479_c,2,0.3188,0.6843,0.9852,0.984,0.9833,0.5622
dscf3208a,2,0.1837,0.9147,0.8264,0.9329,0.8874,0.4461
dscn0969,2,0.1741,0.3721,-0.0404,0.4632,0.5301,0.384
dscn1205_cropped,2,0.8468,0.9435,0.9627,0.6921,0.9673,0.9408
dscn5449,2,0.2615,0.8542,0.6633,0.6478,-0.0044,0.0506
dsc_18501299,2,0.8824,0.6369,0.9474,0.9516,0.9458,0.6588
dsc_7742,2,0.6145,0.1847,0.4993,0.4566,0.6279,0.0387
dualwindows,2,0.1438,0.1919,0.4943,-0.0761,0.5794,0.4364
eagle052607__20_,2,0.8191,0.7859,0.9231,0.0516,0.8806,0.3483
elke_p9270005,2,0.1217,0.0569,0.0024,0.0005,-0.0016,0.0247
fair_gforce_003,2,0.6256,0.4686,0.6268,0.4135,0.6836,0.4141
fishing_on_water,2,0.0729,0.015,-0.0181,0.1702,-0.027,0.2379
footprints10morguejpg,2,0.3778,0.5023,0.8168,0.8352,0.8398,0.5223
frankfurt_img_2243,2,0.1787,0.0973,0.1433,0.1408,0.1338,0.0441
frosty_thyme,2,0.0288,-0.0128,0.1213,0.1579,0.1171,-0.0028
hotblack_20070901_cows,2,0.2367,0.3244,0.294,0.2277,0.0013,0.7558
hpim0242_cropped,2,0.0682,0.1088,-0.0039,-0.0413,0.027,0.84
hpim1928,2,0.8515,0.6105,0.0725,0.1693,0.099,0.0491
imgp1883,2,0.0952,0.0479,-0.0164,0.0417,0.0333,0.0815
img_0121,2,0.1515,0.2036,0.1494,0.166,0.2248,0.3201
